fuente,archivo,hoja,tabla,codigo_fuente,codigo_normalizado,nivel_codigo,seccion_ciiu_fuente,descripcion,anno,valor,unidad,dato_preliminar,nota_fuente
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2014,88609641.8205417,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2015,88534883.0066769,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2016,93132383.0926553,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2017,86629976.8047153,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2018,102581083.395525,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2019,115568916.891887,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2005,9260635.15044049,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2006,12262205.9741803,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2007,13856866.6578017,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2008,22774676.243958,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2009,27580610.0204651,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2010,21750428.5944,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2011,36391149.5421447,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2012,37789751.7609571,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2013,40776284.2971696,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2014,34066086.2250698,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2015,27198202.6267761,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2016,33134347.1004366,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2017,24310660.5618578,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2018,31956910.1613153,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2019,33721220.4833499,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011T.0,A.011T.0,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2005,9260635.15044049,miles_de_pesos_corrientes,False,
